date,type,price,size,stop_price,capital,pnl
2024-02-25,SELL,3749.0,-4,3799.0,99805.052,
2024-02-27,BUY,3810.0,-4,,97166.932,-2440.0
2024-02-29,SELL,3763.0,-2,3828.0,97069.094,
2024-03-18,BUY,3573.0,-2,,100776.196,3800.0
2024-03-24,SELL,3585.0,-4,3630.0,100589.776,
2024-04-01,BUY,3463.0,-4,,105289.7,4880.0
2024-04-03,SELL,3463.0,-7,3493.0,104974.567,
2024-04-07,BUY,3560.0,-7,,97860.60699999999,-6790.0
2024-04-11,BUY,3628.0,2,3540.0,97766.279,
2024-04-15,SELL,3608.0,2,,97272.47099999999,-400.0
2024-04-17,BUY,3682.0,2,3586.0,97176.73899999999,
2024-04-19,SELL,3675.0,2,,96941.18899999998,-140.0
2024-04-21,BUY,3670.0,21,3661.0,95939.27899999998,
2024-04-29,SELL,3656.0,21,,92001.19099999998,-2940.0
2024-05-05,BUY,3735.0,1,3634.0,91952.63599999998,
2024-05-07,SELL,3674.0,1,,91294.87399999998,-610.0
2024-05-15,BUY,3703.0,2,3623.0,91198.59599999998,
2024-05-23,SELL,3788.0,2,,92800.10799999998,1700.0
2024-06-02,SELL,3665.0,-2,3739.0,92704.81799999998,
2024-06-06,BUY,3655.0,-2,,92809.78799999999,200.0
2024-06-10,SELL,3597.0,-2,3689.0,92716.26599999999,
2024-06-12,BUY,3621.0,-2,,92142.12,-480.0
2024-06-16,SELL,3613.0,-4,3658.0,91954.24399999999,
2024-06-18,BUY,3614.0,-4,,91726.31599999999,-40.0
2024-06-20,SELL,3563.0,-2,3654.0,91633.67799999999,
2024-06-26,BUY,3535.0,-2,,92101.76799999998,560.0
2024-07-04,SELL,3553.0,-2,3620.0,92009.38999999998,
2024-07-10,BUY,3514.0,-2,,92698.02599999998,780.0
2024-07-16,SELL,3487.0,-1,3581.0,92652.69499999998,
2024-07-26,BUY,3371.0,-1,,93768.87199999997,1160.0
2024-07-28,SELL,3363.0,-4,3401.0,93593.99599999997,
2024-08-01,BUY,3379.0,-4,,92778.28799999997,-640.0
2024-08-05,SELL,3306.0,-2,3384.0,92692.33199999997,
2024-08-09,BUY,3277.0,-2,,93187.12999999996,580.0
2024-08-11,SELL,3222.0,-1,3324.0,93145.24399999996,
2024-08-19,BUY,3172.0,-1,,93604.00799999996,500.0
2024-08-21,SELL,3174.0,-23,3182.0,92654.98199999996,
2024-08-25,BUY,3264.0,-23,,70979.04599999996,-20700.0
2024-08-29,SELL,3222.0,-2,3289.0,70895.27399999996,
2024-09-08,BUY,3078.0,-2,,73695.24599999996,2880.0
2024-09-18,BUY,3206.0,1,3126.0,73653.56799999996,
2024-09-20,SELL,3165.0,1,,73202.42299999995,-410.0
2024-09-22,SELL,3087.0,-1,3237.0,73162.29199999996,
2024-09-24,BUY,3226.0,-1,,71730.35399999996,-1390.0
2024-09-26,BUY,3341.0,1,3240.77,71686.92099999996,
2024-10-08,SELL,3466.0,1,,72891.86299999995,1250.0
2024-10-10,BUY,3468.0,4,3434.0,72711.52699999996,
2024-10-14,SELL,3467.0,4,,72491.24299999996,-40.0
2024-10-18,BUY,3336.0,4,3300.0,72317.77099999996,
2024-10-22,SELL,3316.0,4,,71345.33899999996,-800.0
2024-10-24,BUY,3376.0,1,3300.0,71301.45099999996,
2024-10-30,SELL,3427.0,1,,71766.89999999995,510.0
2024-11-03,BUY,3425.0,2,3370.0,71677.84999999995,
2024-11-05,SELL,3392.0,2,,70929.65799999995,-660.0
2024-11-11,SELL,3344.0,-1,3465.0,70886.18599999996,
2024-11-17,BUY,3279.0,-1,,71493.55899999996,650.0
2024-11-21,SELL,3277.0,-2,3330.0,71408.35699999996,
2024-11-25,BUY,3303.0,-2,,70802.47899999996,-520.0
2024-12-05,SELL,3311.0,-3,3356.0,70673.34999999996,
2024-12-09,BUY,3402.0,-3,,67810.67199999996,-2730.0
2024-12-11,BUY,3428.0,1,3288.0,67766.10799999996,
2024-12-13,SELL,3360.0,1,,67042.42799999997,-680.0
2024-12-15,BUY,3362.0,12,3351.0,66517.95599999998,
2024-12-17,SELL,3312.0,12,,60001.28399999998,-6000.0
2024-12-19,SELL,3279.0,-1,3377.0,59958.65699999998,
2024-12-23,BUY,3314.0,-1,,59565.574999999975,-350.0
2024-12-25,SELL,3305.0,-10,3316.0,59135.924999999974,
2024-12-29,BUY,3317.0,-10,,57504.714999999975,-1200.0
2024-12-31,SELL,3309.0,-10,3320.0,57074.54499999998,
2025-01-12,BUY,3249.0,-10,,62652.174999999974,6000.0
2025-01-16,BUY,3372.0,1,3240.0,62608.33899999997,
2025-01-20,SELL,3354.0,1,,62384.73699999997,-180.0
2025-01-22,BUY,3352.0,10,3340.0,61948.97699999997,
2025-02-05,SELL,3357.0,10,,62012.566999999966,500.0
2025-02-11,SELL,3292.0,-1,3374.0,61969.770999999964,
2025-02-17,BUY,3313.0,-1,,61716.70199999996,-210.0
2025-02-19,BUY,3358.0,1,3247.0,61673.04799999996,
2025-02-27,SELL,3328.0,1,,61329.783999999956,-300.0
2025-03-03,SELL,3282.0,-1,3352.0,61287.11799999996,
2025-03-05,BUY,3282.0,-1,,61244.45199999996,0.0
2025-03-07,SELL,3252.0,-2,3299.0,61159.89999999996,
2025-03-11,BUY,3226.0,-2,,61596.02399999996,520.0
2025-03-17,SELL,3191.0,-1,3274.0,61554.54099999996,
2025-03-23,BUY,3204.0,-1,,61382.88899999996,-130.0
2025-03-27,SELL,3197.0,-3,3229.0,61258.20599999996,
2025-04-02,BUY,3231.0,-3,,60112.196999999964,-1020.0
2025-04-06,SELL,3146.0,-1,3264.0,60071.29899999996,
2025-04-10,BUY,3131.0,-1,,60180.59599999996,150.0
2025-04-14,SELL,3125.0,-4,3155.0,60018.09599999996,
2025-04-20,BUY,3113.0,-4,,60336.219999999965,480.0
2025-04-24,SELL,3101.0,-2,3146.0,60255.59399999997,
2025-05-12,BUY,3079.0,-2,,60615.53999999997,440.0
2025-05-16,SELL,3082.0,-2,3133.0,60535.407999999974,
2025-06-03,BUY,2974.0,-2,,62618.08399999997,2160.0
2025-06-09,SELL,2974.0,-4,3002.0,62463.43599999997,
2025-06-15,BUY,2990.0,-4,,61667.95599999997,-640.0
2025-06-23,SELL,2977.0,-3,3010.0,61551.85299999997,
2025-06-27,BUY,2995.0,-3,,60895.047999999966,-540.0
2025-06-29,SELL,2997.0,-15,3005.0,60310.632999999965,
2025-07-01,BUY,3065.0,-15,,49512.95799999996,-10200.0
2025-07-09,BUY,3123.0,1,3050.0,49472.35899999996,
2025-07-15,SELL,3106.0,1,,49261.98099999996,-170.0
2025-07-17,BUY,3147.0,1,3094.0,49221.06999999996,
2025-07-23,SELL,3294.0,1,,50648.24799999996,1470.0
2025-07-25,BUY,3356.0,1,3245.0,50604.619999999966,
2025-07-27,SELL,3248.0,1,,49482.395999999964,-1080.0
2025-07-29,BUY,3315.0,1,3230.0,49439.30099999996,
2025-07-31,SELL,3203.0,1,,48277.66199999996,-1120.0
2025-08-04,BUY,3233.0,2,3186.0,48193.60399999996,
2025-08-06,SELL,3231.0,2,,48069.59799999996,-40.0
2025-08-10,BUY,3250.0,2,3204.0,47985.09799999996,
2025-08-12,SELL,3222.0,2,,47341.325999999965,-560.0
2025-08-14,SELL,3188.0,-1,3274.0,47299.88199999996,
2025-08-22,BUY,3119.0,-1,,47949.33499999996,690.0
2025-08-26,SELL,3111.0,-1,3165.0,47908.89199999996,
2025-08-28,BUY,3160.0,-1,,47377.81199999996,-490.0
2025-09-01,SELL,3117.0,-1,3210.0,47337.29099999996,
2025-09-05,BUY,3143.0,-1,,47036.431999999964,-260.0
2025-09-07,SELL,3132.0,-4,3153.0,46873.56799999996,
2025-09-11,BUY,3127.0,-4,,46910.96399999996,200.0
2025-09-15,BUY,3166.0,1,3075.0,46869.80599999996,
2025-09-17,SELL,3147.0,1,,46638.89499999996,-190.0
2025-09-19,BUY,3172.0,1,3123.0,46597.65899999996,
2025-09-23,SELL,3164.0,1,,46476.526999999965,-80.0
2025-09-25,SELL,3114.0,-1,3182.0,46436.04499999996,
2025-10-09,BUY,3103.0,-1,,46505.70599999996,110.0
2025-10-13,SELL,3061.0,-1,3124.0,46465.912999999964,
2025-10-19,BUY,3045.0,-1,,46586.327999999965,160.0
2025-10-23,SELL,3046.0,-4,3068.0,46427.935999999965,
2025-10-27,BUY,3091.0,-4,,44467.20399999996,-1800.0
2025-11-02,SELL,3079.0,-1,3126.0,44427.17699999996,
2025-11-06,BUY,3034.0,-1,,44837.73499999996,450.0
2025-11-10,SELL,3025.0,-4,3045.0,44680.434999999954,
2025-11-12,BUY,3046.0,-4,,43682.042999999954,-840.0
2025-11-16,BUY,3097.0,1,3034.0,43641.781999999956,
2025-11-18,SELL,3070.0,1,,43331.87199999995,-270.0
2025-11-20,SELL,3057.0,-2,3100.0,43252.38999999995,
2025-11-24,BUY,3106.0,-2,,42191.63399999995,-980.0
