date,type,price,size,stop_price,capital,pnl
2023-02-28,BUY,4216.0,4,4173.0,99780.768,
2023-03-06,SELL,4248.0,4,,100839.872,1280.0
2023-03-08,BUY,4313.0,1,4175.0,100783.803,
2023-03-10,SELL,4314.0,1,,100737.721,10.0
2023-03-12,BUY,4371.0,2,4303.0,100624.07500000001,
2023-03-16,SELL,4262.0,2,,98333.263,-2180.0
2023-03-20,SELL,4156.0,-1,4308.0,98279.235,
2023-03-24,BUY,4107.0,-1,,98715.844,490.0
2023-03-30,SELL,4161.0,-18,4168.0,97742.17,
2023-04-07,BUY,3989.0,-18,,127768.74399999999,30960.0
2023-04-09,SELL,3907.0,-2,4008.0,127667.162,
2023-04-17,BUY,3950.0,-2,,126704.462,-860.0
2023-04-19,SELL,3914.0,-3,3981.0,126551.816,
2023-04-25,BUY,3719.0,-3,,132256.775,5850.0
2023-04-27,SELL,3660.0,-3,3747.0,132114.035,
2023-05-05,BUY,3622.0,-3,,133112.777,1140.0
2023-05-09,SELL,3688.0,-5,3733.0,132873.057,
2023-05-15,BUY,3640.0,-5,,135036.457,2400.0
2023-05-19,SELL,3645.0,-3,3724.0,134894.302,
2023-05-25,BUY,3493.0,-3,,139318.07499999998,4560.0
2023-05-29,SELL,3460.0,-5,3510.0,139093.175,
2023-05-31,BUY,3546.0,-5,,134562.685,-4300.0
2023-06-06,SELL,3621.0,-3,3689.0,134421.466,
2023-06-08,BUY,3711.0,-3,,131576.737,-2700.0
2023-06-12,BUY,3741.0,2,3625.0,131479.471,
2023-06-18,SELL,3752.0,2,,131601.919,220.0
2023-06-26,BUY,3728.0,5,3683.0,131359.599,
2023-06-30,SELL,3721.0,5,,130767.73399999998,-350.0
