date,type,price,size,stop_price,capital,pnl
2021-08-16,SELL,5345.0,-1,5589.0,88276.93600000003,
2021-08-20,BUY,5100.0,-1,,90660.63600000003,2450.0
2021-08-22,SELL,5102.0,-7,5125.0,90196.35400000002,
2021-08-24,BUY,5236.0,-7,,80339.87800000003,-9380.0
2021-09-01,SELL,5273.0,-1,5377.0,80271.32900000003,
2021-09-03,BUY,5408.0,-1,,78851.02500000002,-1350.0
2021-09-05,BUY,5473.0,1,5243.0,78779.87600000002,
2021-09-07,SELL,5452.0,1,,78499.00000000001,-210.0
2021-09-09,BUY,5640.0,1,5400.0,78425.68000000001,
2021-09-13,SELL,5492.0,1,,76874.28400000001,-1480.0
2021-09-15,BUY,5541.0,2,5486.0,76730.21800000001,
2021-09-17,SELL,5478.0,2,,75327.79000000001,-1260.0
2021-09-21,BUY,5656.0,1,5423.0,75254.262,
2021-09-23,SELL,5468.0,1,,73303.178,-1880.0
2021-09-27,BUY,5634.0,1,5441.0,73229.936,
2021-10-07,SELL,5750.0,1,,74315.186,1160.0
2021-10-15,BUY,5515.0,1,5267.0,74243.491,
2021-10-17,SELL,5422.0,1,,73243.00499999999,-930.0
2021-10-19,SELL,5304.0,-1,5532.0,73174.05299999999,
2021-10-25,BUY,4917.0,-1,,76980.13199999998,3870.0
2021-10-27,SELL,4712.0,-1,4956.0,76918.87599999999,
2021-11-08,BUY,4257.0,-1,,81413.53499999999,4550.0
2021-11-12,SELL,4249.0,-1,4466.0,81358.298,
2021-11-16,BUY,4216.0,-1,,81633.48999999999,330.0
2021-11-26,SELL,4104.0,-1,4227.12,81580.13799999999,
2021-11-28,BUY,4145.0,-1,,81116.253,-410.0
2021-12-06,BUY,4450.0,1,4225.0,81058.40299999999,
2021-12-08,SELL,4293.0,1,,79432.594,-1570.0
2021-12-12,BUY,4415.0,1,4264.0,79375.199,
2021-12-20,SELL,4473.0,1,,79897.04999999999,580.0
2021-12-24,BUY,4519.0,1,4403.0,79838.30299999999,
2021-12-26,SELL,4307.0,1,,77662.31199999999,-2120.0
2021-12-28,SELL,4315.0,-1,4523.0,77606.21699999999,
2022-01-03,BUY,4395.0,-1,,76749.082,-800.0
2022-01-05,BUY,4494.0,1,4291.0,76690.65999999999,
2022-01-09,SELL,4492.0,1,,76612.264,-20.0
2022-01-11,BUY,4632.0,1,4463.0,76552.048,
2022-01-17,SELL,4599.0,1,,76162.261,-330.0
2022-01-19,BUY,4713.0,1,4520.0,76100.992,
2022-01-21,SELL,4711.0,1,,76019.749,-20.0
2022-01-25,BUY,4694.0,3,4653.0,75836.68299999999,
2022-02-06,SELL,4847.0,3,,80237.65,4590.0
2022-02-08,BUY,4843.0,3,4801.0,80048.773,
2022-02-14,SELL,4728.0,3,,76414.381,-3450.0
2022-02-18,BUY,4779.0,1,4684.0,76352.254,
2022-02-22,SELL,4786.0,1,,76360.03600000001,70.0
2022-02-24,SELL,4617.0,-1,4883.0,76300.01500000001,
2022-02-28,BUY,4837.0,-1,,74037.13400000002,-2200.0
2022-03-02,BUY,4880.0,1,4597.0,73973.69400000002,
2022-03-08,SELL,4907.0,1,,74179.90300000002,270.0
2022-03-10,BUY,4917.0,2,4855.0,74052.06100000002,
2022-03-14,SELL,4753.0,2,,70648.48300000002,-3280.0
2022-03-16,BUY,4902.0,1,4681.0,70584.75700000003,
2022-04-05,SELL,5121.0,1,,72708.18400000002,2190.0
2022-04-11,BUY,5035.0,1,4953.0,72642.72900000002,
2022-04-13,SELL,5004.0,1,,72267.67700000003,-310.0
2022-04-15,BUY,5049.0,1,4912.0,72202.04000000002,
2022-04-21,SELL,4964.0,1,,71287.50800000002,-850.0
2022-04-25,SELL,4829.0,-1,4973.87,71224.73100000001,
2022-04-27,BUY,4850.0,-1,,70951.68100000001,-210.0
2022-05-05,SELL,4734.0,-1,4926.0,70890.13900000001,
2022-05-13,BUY,4670.0,-1,,71469.429,640.0
2022-05-17,SELL,4532.0,-1,4704.0,71410.513,
2022-05-19,BUY,4638.0,-1,,70290.21900000001,-1060.0
2022-05-23,SELL,4468.0,-1,4650.0,70232.13500000001,
